description,category
Monthly retainer from TechCorp for advisory services,Consulting Income
Software consulting project payment from StartupXYZ,Consulting Income
Management consulting fee received,Consulting Income
Strategic advisory fee from Mahindra Group,Consulting Income
IT consulting invoice paid by client,Consulting Income
Business process consulting income,Consulting Income
Quarterly consulting retainer received,Consulting Income
Consulting engagement payment from HDFC client,Consulting Income
Tax consulting fee received,Consulting Income
HR consulting project completion payment,Consulting Income
Legal consulting income from corporate client,Consulting Income
Financial consulting retainer from Reliance,Consulting Income
Architecture consulting fee received,Consulting Income
Digital transformation consulting project fee,Consulting Income
Consulting workshop facilitation fee,Consulting Income
Client consulting day rate received,Consulting Income
Project consulting milestone payment,Consulting Income
ERP consulting implementation fee,Consulting Income
Agile consulting training income,Consulting Income
Cloud consulting project payment received,Consulting Income
Business strategy consulting invoice paid,Consulting Income
Operations consulting engagement payment,Consulting Income
Risk management consulting fee,Consulting Income
Technology consulting retainer April,Consulting Income
Compliance consulting project income,Consulting Income
Data governance consulting fee received,Consulting Income
Security audit consulting payment,Consulting Income
Change management consulting income,Consulting Income
Supply chain consulting project fee,Consulting Income
Process improvement consulting payment,Consulting Income
Marketing strategy consulting fee,Consulting Income
IT infrastructure consulting engagement,Consulting Income
ESG consulting advisory fee received,Consulting Income
SAP consulting project milestone payment,Consulting Income
Oracle consulting implementation income,Consulting Income
CRM consulting project fee received,Consulting Income
BFSI consulting income from bank client,Consulting Income
Healthcare IT consulting payment received,Consulting Income
Consulting income for financial modeling project,Consulting Income
Retail analytics consulting fee received,Consulting Income
Product sales revenue from ecommerce store,Product Sales
Sale of handmade goods to retail customer,Product Sales
Shopify store revenue transferred,Product Sales
Amazon marketplace payout received,Product Sales
Bulk product order from distributor,Product Sales
Hardware product invoice paid,Product Sales
B2B product sale to corporate client,Product Sales
Retail product sales batch payment,Product Sales
Wholesale product revenue received,Product Sales
Online store product payout,Product Sales
Flipkart seller payout received,Product Sales
Product inventory sale to reseller,Product Sales
Export shipment payment received,Product Sales
Product sale to government tender,Product Sales
Meesho store product income,Product Sales
Custom manufactured goods payment,Product Sales
Medical equipment sale to hospital,Product Sales
Craft product sale at trade fair,Product Sales
Industrial machinery sale invoice paid,Product Sales
Electronic goods wholesale order payment,Product Sales
Furniture product sale to interior designer,Product Sales
Chemical product sale to factory,Product Sales
Textile product export income,Product Sales
Fashion product sale to boutique,Product Sales
Automotive spare parts sale,Product Sales
Stationery product sale to school,Product Sales
Packaging material product sale,Product Sales
Agricultural product sale to wholesaler,Product Sales
Construction material product invoice,Product Sales
Food product distributor payment received,Product Sales
Pharmaceutical product sale to pharmacy,Product Sales
Cosmetics product sale to retailer,Product Sales
Sports equipment sale to gym,Product Sales
Toy product sale to distributor,Product Sales
Electronic component sale to manufacturer,Product Sales
Solar panel product sale invoice,Product Sales
FMCG product batch sale income,Product Sales
Kitchenware product sale via Amazon,Product Sales
Organic product sale to supermarket,Product Sales
D2C product sale from website,Product Sales
SaaS subscription revenue from clients,Service Revenue
Monthly service fee from corporate account,Service Revenue
Annual maintenance contract payment received,Service Revenue
